,sentence_text,e1,e2,relation_type,normalized_sentence
174,Barbiturates and glutethimide should not be administered to patients receiving coumarin drugs. ,Barbiturates,coumarin drugs,advise,DRUG glutethimide_be administered_be patients_be receiving_be coumarin_be drugs_be ._be
175,Barbiturates and glutethimide should not be administered to patients receiving coumarin drugs. ,glutethimide,coumarin drugs,advise,Barbiturates_bf DRUG administered_be patients_be receiving_be coumarin_be drugs_be ._be
213,Indinavir may be taken with a light meal 1 h following the administration of 400 mg of didanosine.,Indinavir,didanosine,advise,DRUG may_be taken_be light_be meal_be 1_be following_be administration_be 400_be mg_be OTHER_DRUG ._af
255,We report the case of an adolescent with altered consciousness caused by carbamazepine overdose with a positive tricyclic antidepressant level to alert clinicians to the cross-reactivity of carbamazepine with a toxicology screen for tricyclic antidepressants.,carbamazepine,tricyclic antidepressants,advise,We_bf report_bf case_bf adolescent_bf altered_bf consciousness_bf caused_bf DRUG overdose_be positive_be tricyclic_be antidepressant_be level_be alert_be clinicians_be cross-reactivity_be DRUG toxicology_af screen_af tricyclic_af antidepressants_af ._af
390,"However, careful attention must be directed to cross toxicity and possible pharmacokinetic interactions between antiretroviral and antineoplastic drugs. ",antiretroviral drugs,antineoplastic drugs,advise,"However_bf ,_bf careful_bf attention_bf must_bf directed_bf cross_bf toxicity_bf possible_bf pharmacokinetic_bf interactions_bf antiretroviral_bf antineoplastic_bf drugs_bf ._bf"
599,"Because of the pronounced intersubject variability in the extent of the sirolimus-diltiazem interaction, whole blood sirolimus concentrations should be monitored closely in patients treated with the two drugs.",sirolimus,diltiazem,advise,"Because_bf pronounced_bf intersubject_bf variability_bf extent_bf sirolimus-diltiazem_bf interaction_bf ,_bf whole_bf blood_bf DRUG concentrations_be monitored_be closely_be patients_be treated_be two_be drugs_be ._be"
849,"Sildenafil is contraindicated in patients using long-acting nitrates or who may need to use short-acting nitrates, because the combination may cause a sharp fall of the blood pressure. ",Sildenafil,long-acting nitrates,advise,"DRUG contraindicated_be patients_be using_be long-acting_be nitrates_be may_be need_be use_be short-acting_be nitrates_be ,_be combination_be may_be cause_be sharp_be fall_be blood_be pressure_be ._be"
850,"Sildenafil is contraindicated in patients using long-acting nitrates or who may need to use short-acting nitrates, because the combination may cause a sharp fall of the blood pressure. ",Sildenafil,short-acting nitrates,advise,"DRUG contraindicated_be patients_be using_be long-acting_be nitrates_be may_be need_be use_be short-acting_be nitrates_be ,_be combination_be may_be cause_be sharp_be fall_be blood_be pressure_be ._be"
1626,Concurrent therapy with ORENCIA and TNF antagonists is not recommended.,ORENCIA,TNF antagonists,advise,Concurrent_bf therapy_bf DRUG TNF_be antagonists_be recommended_be ._be
1627,"There is insufficient experience to assess the safety and efficacy of ORENCIA administered concurrently with anakinra, and therefore such use is not recommended.",ORENCIA,anakinra,advise,"There_bf insufficient_bf experience_bf assess_bf safety_bf efficacy_bf DRUG administered_be concurrently_be OTHER_DRUG ,_af therefore_af use_af recommended_af ._af"
